Наименование;Артикул;Цена;Наличие
Щетка для чистки паровых трубок кофемашины Pallo Steam wanda Large ; Steam wanda Large  ;640 ;Есть
Нож для очистки кожуры серии Sani-Safe 82 мм. Dexter-Russell S104-PCP; 15303;773 ;Есть
Сменные наконечники с латунной щетиной Pallo Brass Bristle Inserts; Brass Bristle Inserts;774 ;Есть
Разделочная доска San Jamar (белая, 152х229 мм.); CBG6938WH;8 100.55 ;Есть
Разделочная доска San Jamar (красная, 152х229 мм.); CBG6938RD;7 302 ;Есть
Барный коврик San Jamar VERSA-MAT; VM5280BK;2 686.22 ;Есть
Дополнительный ярус для дегидратора L'equip; ;1 424.27 ;Есть
Барный коврик San Jamar VERSA-MAT; VM5280BB;1 317 ;Есть
Нож для очистки кожуры с зубчатой кромкой серии V-Lo 82 мм. Dexter-Russell V105SC-PCP; 29483;1 040 ;Есть
Сменные наконечники Pallo Replacement Bristles LP (3-Pack) ; Replacement Bristles LP (3-Pack) ;1 064 ;Есть
Сковорода для паэльи Magefesa Paella Pan 20 см; 01PAPAEPU20;1 079.55 ;Есть
Кофеварка из алюминия 3 чашки Magefesa Colombia; 01CFCOLOM03;1 194.75 ;Есть
Диспенсер для стаканов и крышек на 2 отделения HOGA-PL3003BK; HOGA-PL3003BK ;1 900 ;Есть
Кофеварка из алюминия 3 чашки Magefesa Kenia Noir; 01PACFKEB03;1 093.51 ;Есть
Щетка для чистки кофейной группы кофемашины Pallo COFFEETOOL  (черная); CTBLK;1 257 ;Есть
Щетка для чистки кофейной группы кофемашины Pallo COFFEETOOL  (оранжевая); CTTANG;1 257 ;Есть
Щетка для чистки кофейной группы кофемашины Pallo COFFEETOOL (вишневая); CTCHER;1 257 ;Есть
Многофункциональный инструмент Pallo Caffeine Wrench  ; Caffeine Wrench  ;1 257 ;Есть
Вставка для крышки блендера L'equip; ;445.09 ;Есть
Кухонные ножницы для птицы серии SofGrip Dexter-Russell SGS01B-CP; 25353;3 675 ;Есть
Лоток для дегидратора L'euip; ;267.05 ;Есть
Подставка для чайных пакетиков на 6 отделений Mind Reader STBORG-BLK; STBORG-BLK;3 081 ;Есть
"Мягкая, ""глухая"" крышка Blendtec "; 40-210-02 ;1 476.17 ;Есть
Диспенсер для стаканов и крышек на 4 отделения HOGA-PL3004BK; HOGA-PL3004BK;1 200 ;Есть
Чайник 2 литра из нержавеющей стали Magefesa Nubia; 01PXTENUBIA;1 893.79 ;Есть
Нож универсальный с зубчатой кромкой серии Sani-Safe 152 мм. Dexter-Russell  S156SC-PCP; 13303;1 678 ;Есть
Органайзер для стаканов, крышек, салфеток и порционных продуктов, 7-ми секционный HOGA-COMP7BK; HOGA-COMP7BK;2 210 ;Есть
Рукавица Bestgrip Chef Revival 810PM15; 810PM15 ;1 689.58 ;Есть
Нож овощной серии Sani-Safe 127 мм. Dexter-Russell S185; 09453;5 018.12 ;Есть
Лопатка пекарская серии Sani-Safe 203 мм. Dexter-Russell S284-8-PCP; 19813;1 862 ;Есть
Щетка для чистки кофемолки Pallo Grindminder; GM;1 837 ;Есть
Сотейник из нержавеющей стали Magefesa Millenium 1 л; 01PXMILCZ14;1 815.25 ;Есть
Нож универсальный с зубчатой кромкой серии V-Lo 152 мм. Dexter-Russell V156SC-PCP; 29373;1 862 ;Есть
Нож овощной серии Sani-Safe 152 мм. Dexter-Russell S186-PCP; 09463;2 394 ;Есть
Диспенсер для стаканов и крышек на 4 отделения HOGA-PL3002BK; HOGA-PL3002BK ;1 200 ;Есть
Чайник 3 литра из нержавеющей стали Magefesa Casia; 01PXTECASIA;1 592.71 ;Есть
Молочник из нержавеющей стали Magefesa Ideal; 01PXIDEPO14;2 026.45 ;Есть
Крышка дегидратора L'equip; ;1 424.27 ;Есть
Нож хлебный серии Sani-Safe 203 мм. Dexter-Russell S162-8SC-PCP; 13313;773 ;Есть
Подставка под кофемашину органайзер для 50 кофейных капсул Nespresso HOGA-CADP150BK; HOGA-CADP150BK;2 200 ;Есть
Антисептик для рук и поверхностей San Plus, спиртовой 5 л.; ;2 143 ;Есть
Перчатки для замороженных пищевых продуктов Crewware FGI-OR; FGI-OR ;2 130.30 ;Есть
Кофеварка из нержавеющей стали 4 чашки Magefesa Genova; 01PXCFGEN04;1 194.75 ;Есть
Нож обвалочный гибкий серии Sani-Safe 152 мм. Dexter-Russell S136F-PCP; 1543;2 686.22 ;Есть
Рукавица Ultigrips Chef Revival UPM15BK; UPM15BK;2 163.46 ;Есть
Подставка под кофемашину органайзер для 36 кофейных капсул Dolce Gusto или 48 Nespresso HOGA-CADP348BK; HOGA-CADP348BK;3 081 ;Есть
Поварские ножницы серии Sani-Safe 203 мм. Dexter-Russell PS02-CP; 19921;2 201 ;Есть
Лопатка пекарская серии Sani-Safe 254 мм. Dexter-Russell S284-10-PCP; 19823;3 893 ;Есть
Лопатка для глазировки серии Sani-Safe 165 мм. Dexter-Russell S284-6 1/2-PCP; 19803;2 370 ;Есть
Комплект из 2-х черных 9-ти секционных настольных органайзеров для стаканов, крышек, салфеток, порционных продуктов и чайных пакетов HOGA-7COMP7BLK; HOGA-7COMP7BLK;2 210 ;Есть
Нож обвалочный узкий серии Sani-Safe 152 мм. Dexter-Russell S136N-PCP; 1563;796.79 ;Есть
Нож-резак для пиццы серии Sani-Safe 70 мм. Dexter-Russell P3A-PCP; 18043;3 790 ;Есть
Нож для сэндвичей серии Sani-Safe 228 мм. Dexter-Russell S163-9SC-PCP; 13583;3 142 ;Есть
Прозрачная подставка Dejelin Tritan Heighter; 5412400202703;9 079.74 ;Есть
Нож хлебный серии V-Lo 203 мм. Dexter-Russell V162-8SC-PCP; 29313;5 765 ;Есть
Рукавица Ultigrips Chef Revival UCMX13BK; UCMX13BK ;2 351.10 ;Есть
Лопатка перфорированная для жарки рыбы серии Sani-Safe 165х76 мм. Dexter-Russell S186 1/2CP; 19673;1 317 ;Есть
Нож обвалочный гибкий серии V-Lo 152 мм. Dexter-Russell V136F-PCP; 29003;3 007 ;Есть
Вилка поварская серии Sani-Safe 330 мм. Dexter-Russell S205-PCP; 14443;2 436 ;Есть
Нож для сэндвичей серии V-Lo 228 мм. Dexter-Russell V163-9SC-PCP; 29323;4 924 ;Есть
Органайзер для стаканов, крышек, салфеток, кофейных капсул и порционных продуктов, 11-ти секционный HOGA-CADP11BK; HOGA-CADP11BK;1 900 ;Есть
Рукавица Ultigrips Chef Revival UCMX15BK; UCMX15BK ;2 576.26 ;Есть
Лопатка для жарки серии Sani-Safe 152х76 мм. Dexter-Russell S286-6; 19683;2 553 ;Есть
Магнитный контейнер Urbio Perch Biggy; SKU PER-003;2 911.75 ;Есть
Нож-резак для пиццы серии Sani-Safe 101 мм. Dexter-Russell P177A-PCP; 18023;3 142 ;Есть
Набор столовых приборов из нержавеющей стали Magefesa Ana 24 шт. (в кейсе с магнитным замком); 01CUANAIM24;2 976.83 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-XL; SG10-XL ;2 800.55 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-S; SG10-S ;2 800.55 ;Есть
Органайзер для стаканов, крышек, салфеток и порционных продуктов, 10-ти секционный HOGA-COMP10BK; HOGA-COMP10BK;3 670 ;Есть
Разделочная доска San Jamar (белая, 305х457 мм.); CBG121812WH;10 860.08 ;Есть
Разделочная доска San Jamar (желтая, 305х457 мм.); CBG121812YL;4 852 ;Есть
Разделочная доска San Jamar (зеленая, 305х457 мм.); CBG121812GN;11 232 ;Есть
Разделочная доска San Jamar (красная, 305х457 мм.); CBG121812RD;2 230 ;Есть
Магнитный органайзер комплект из 3 предметов Urbio Perch 3-Piece Starter Kit; SKU PER-002;6 051.38 ;Есть
Разделочная доска San Jamar (голубая, 305х457 мм.); CBG121812BL;9 791.87 ;Есть
Лопатка перфорированная для жарки серии Sani-Safe 203х76 мм. Dexter-Russell S286-8-PCP; 19703;7 315 ;Есть
Лопатка кондитерская серии Sani-Safe 203х76 мм. Dexter-Russell S286-8CP; 19693;1 802 ;Есть
Черный 6-ти секционный настольный органайзер для салфеток и порционных продуктов HOGA-PL30051BLK; HOGA-PL30051BLK;1 200 ;Есть
Подставка для чайных пакетиков на 11 отделений Mind Reader TBORG-BLK; TBORG-BLK;1 484 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-BL-L; SG10-BL-L ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-GN-M; SG10-GN-M ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-RD-S; SG10-RD-S ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-RD-M; SG10-RD-M;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-RD-L; SG10-RD-L ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-BL-M; SG10-BL-M ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-GN-L; SG10-GN-L ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-Y-S; SG10-Y-S ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-Y-M; SG10-Y-M ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-Y-L; SG10-Y-L ;3 081.56 ;Есть
